"8208"	"hyphen"	"--"	"--"	P
"8209"	"minus"	"-"	"-"	P
"8210"	"dash"	"--"	"--"	P
"8211"	"ndash"	"--"	"${\mbox{--}}$"	P
"8212"	"mdash"	"---"	"${\mbox{---}}$"	P
"8213"	"horbar"	"---"	"---"	P
"8214"	"dvbm0"	"||"	"$\Vert$"
"8214"	"dvbr"	"||"	"$\Vert$"	P
"8216"	"lsquor"	"`"	"`"
"8216"	"lsquo"	"`"	"`"	P
"8217"	"rsquor"	"'"	"'"
"8217"	"rsquo"	"'"	"'"	P
"8220"	"ldquo"	"``"	"``"	P
"8221"	"rdquo"	"''"	"''"	P
"8224"	"dagger"	"&dagger;"	"$\dagger$"	P
"8225"	"Dagger"	"&Dagger;"	"$\ddagger$"	P
"8226"	"bull"	"&bull;"	"$\bullet$"	P
"8229"	"nldr"	".."	"${\mbox{..}}$"	P
"8230"	"hellip"	"..."	"$\ldots$"
"8230"	"mldr"	"..."	"${\mbox{$ldots}}$"
"8230"	"ldots"	"..."	"$\ldots$"	P
"8231"	"prime"	"'"	"$\prime$"	P
"8240"	"permil"	"0/00"	"0/00"	P
"8242"	"feet"	"'"	"$^{\prime}$"
"8242"	"arcmin"	"'"	"$\arcmin$"
"8242"	"vprime"	"'"	"$^{\prime}$"
"8242"	"prime"	"'"	"$^{\prime}$"	P
"8243"	"arcsec"	"""	"$\arcsec$"
"8243"	"inches"	"""	"$^{\prime\prime}$"
"8243"	"Prime"	"""	"$^{\prime\prime}$"	P
"8244"	"tprime"	"'''"	"$^{\prime\prime\prime}$"	P
"8245"	"bprime"	"`"	"$\backprime$"	P
"8248"	"caret"	"^"	"$^$"	P
"8249"	"slaquo"	"<"	"$<$"	P
"8250"	"sraquo"	">"	"$>$"	P
"8259"	"hybull"	"&hybull;"	"{\bf -}"	P
"8270"	"ast"	"*"	"*"	P
"8289"	"func"	"f "	"$\func$"	P
"8315"	"minus"	"-"	"-"	P
"8364"	"euro"	"&euro;"	"euro"	P
"8407"	"ar"	"&ar;"	"$\rightarrow{\phantom{o}}$"	P
"8453"	"incare"	"c/o"	"c/o"	P
"8460"	"hamilt"	"H"	"$\mathcal{H}$"	P
"8462"	"plank"	"&plank;"	"$\hbar$"	L
"8463"	"hslash"	"&hslash;"	"$\hslash$"
